sample_id,area_id,areaname,samptype_id,samptype,ref_id,displaytext,zoterourl,ref_note,datbase,lab_id,lab,latitude,longitude,begperiod,endperiod,samplingyear,totdepth,sampdepth,station,samplabcode,species_id,taxonname,taxonrank,biogroup,taxondb,taxondbid,taxondburl,taxonrepname,bodypar_id,bodypar,sliceup,slicedown,sedtype_id,sedtype,sedrepname,nuclide_id,nusymbol,volume,salinity,temperatur,filtered,filtpore,samparea,drywt,wetwt,percentwt,sampmet_id,sampmet,prepmet_id,prepmet,drymet_id,drymet,counmet_id,counmet,decayedto,detection,activity,uncertaint,unit_id,unit,vartype,freq,rangelow,rangeupp,profile,transect_id,measure_note,shapetype_id,profile_id,sampnote,ref_fulltext,ref_yearpub,ref_sampleTypes,LongLat,displaycoordinates,DisplayLong,DisplayLat,id
522441,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2016-09-10 15:00:00.000,,2016,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,103,T-BETA,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,260.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:41:49.313. ,1,,Updated: 2021-07-28T16:41:49.313. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,172614
529238,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.6,141.061111111111,2011-12-14 09:40:00.000,,2011,20.0,3.0,11,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,1000.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T17:20:59.537. ,1,121.80241,Updated: 2021-07-28T17:20:59.537. 3 km offshore of Fukushima prefecture Minamisoma city Haramachi ward Kobama (3 km offshore of Haramachi ward). 20 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.061,37.6",0xE6100000010CCDCCCCCCCCCC4240CBA145B6F3A16140,141.061111111111,37.6,290386
514027,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-08-28 09:47:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,750.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:19:02.813. Re-analysis took place with longer measurement time and a lower detection limit than previous measurements.,1,121.37768,Updated: 2021-07-28T16:19:02.813. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,190605
519997,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2016-05-16 03:00:00.000,,2016,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,20.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:41:30.627. ,1,,Updated: 2021-07-28T16:41:30.627. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,399877
512983,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-07-09 05:00:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,100.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:18:52.250. ,1,,Updated: 2021-07-28T16:18:52.187. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,65754
507503,9999,Unassigned,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4061111111111,141.033611111111,2017-03-09 07:05:00.000,,2017,5.0,2.0,T-2-1,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,29,131I,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,660.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T14:32:17.920. ,1,,Updated: 2021-07-28T14:32:17.920. Around South discharge channel of 1F. 1.7 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.034,37.406",0xE6100000010CEB73B515FBB342400C022B8716A16140,141.033611111111,37.4061111111111,780704
515524,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-11-10 06:00:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,120.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:40:49.080. ,1,,Updated: 2021-07-28T16:40:49.050. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,168995
510729,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-04-06 22:00:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,70.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:18:33.123. ,1,,Updated: 2021-07-28T16:18:33.123. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,189028
519707,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2016-05-04 09:00:00.000,,2016,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,103,T-BETA,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,8700.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:41:28.110. ,1,,Updated: 2021-07-28T16:41:28.110. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,60649
518640,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2016-03-21 20:00:00.000,,2016,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,520.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:41:15.673. ,1,,Updated: 2021-07-28T16:41:15.673. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,162701
500746,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,36.5063888888889,140.665555555556,2014-12-10 08:02:00.000,,2014,20.0,3.0,T-B,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,1300.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T14:31:20.607. ,1,,Updated: 2021-07-28T14:31:20.607. 3 km offshore of Kujihama Shore. 106.9 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"140.666,36.506",0xE6100000010CE25817B7D14042405A643BDF4F956140,140.665555555556,36.5063888888889,302201
514196,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-09-07 07:00:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,103,T-BETA,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,8700.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:19:05.390. ,1,,Updated: 2021-07-28T16:19:05.390. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,241233
506230,9999,Unassigned,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4061111111111,141.033611111111,2013-05-05 06:52:00.000,,2013,5.0,2.0,T-2-1,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,1100.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T14:32:00.230. ,1,,Updated: 2021-07-28T14:32:00.230. Around South discharge channel of 1F. 1.7 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.034,37.406",0xE6100000010CEB73B515FBB342400C022B8716A16140,141.033611111111,37.4061111111111,774593
515477,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-11-08 06:00:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,600.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:40:48.267. ,1,,Updated: 2021-07-28T16:40:48.253. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,124378
515327,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-11-02 06:00:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,420.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:19:14.813. ,1,,Updated: 2021-07-28T16:19:14.797. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,79713
520601,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2016-06-09 18:00:00.000,,2016,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,103,T-BETA,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,8700.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:41:34.957. ,1,,Updated: 2021-07-28T16:41:34.940. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,415688
509215,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4166666666667,141.2,2012-01-02 08:40:00.000,,2012,69.0,3.0,T-5,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,29,131I,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,670.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:18:22.157. ,1,121.24464,Updated: 2021-07-28T16:18:22.157. 15 km offshore of Fukushima prefecture Futaba county Okuma town Ottozawa (15 km offshore of Fukushima Dai-ichi NPP). 14.9 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.2,37.417",0xE6100000010C211FF46C56B542406666666666A66140,141.2,37.4166666666667,327421
504075,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.265,141.039444444444,2014-07-06 06:24:00.000,,2014,14.0,9.0,T-S5,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,33,137Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,32.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T14:31:45.527. ,1,121.781,Updated: 2021-07-28T14:31:45.527. 2 km offshore of Kido River. 17.4 km from Fukushima Dai-ichi NPS. Sampling layer: Lower layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.039,37.265",0xE6100000010C52B81E85EBA142406891ED7C3FA16140,141.039444444444,37.265,268379
514095,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-09-03 04:00:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,103,T-BETA,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,8700.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:19:03.267. ,1,,Updated: 2021-07-28T16:19:03.267. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,402588
512662,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2015-06-24 05:00:00.000,,2015,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,103,T-BETA,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,<,8700.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:18:47.373. ,1,,Updated: 2021-07-28T16:18:47.360. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,227169
504550,9999,Unassigned,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.3222222222222,141.026388888889,2011-05-31 08:40:00.000,,2011,5.0,3.0,T-3,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,33000.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T14:31:48.027. ,1,,Updated: 2021-07-28T14:31:48.027. Shore of Fukushima prefecture Futaba county Tomioka town (Around north discharge channel of Fukushima Dai-ni NPP). 11 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.026,37.322",0xE6100000010CB7627FD93DA9424046B6F3FDD4A06140,141.026388888889,37.3222222222222,772128
519120,1908,North Pacific Ocean,1,Seawater,121,"TEPCO - Tokyo Electric Power Company, 2011",https://www.zotero.org/groups/2432820/maris/items/8PKVTBFY,,TEPCO seawater,0,Laboratory of Ion Beam Physics,37.4233333333333,141.041388888889,2016-04-10 16:00:00.000,,2016,10.0,2.0,T-0,,0,(Not available),,(Not available),,,,,0,(Not available),,,0,(Not available),,31,134Cs,,,,,,,,,,0,Not available,0,Not available,0,Not available,0,Not available,,=,70.0,,1,Bq/m3,,,,,0.0,,Updated: 2021-07-28T16:41:19.970. ,1,,Updated: 2021-07-28T16:41:19.893. Around the harbor channel of 1F. 0.8 km from Fukushima Dai-ichi NPS. Sampling layer: Outer layer.,"TEPCO - Tokyo Electric Power Company, 2011. Distribution of Radioactivity Concentration in the Seawater around Fukushima Dai-ichi NPP by TEPCO.",2011,1,"141.041,37.423",0xE6100000010CCA32C4B12EB642405A643BDF4FA16140,141.041388888889,37.4233333333333,377760
